CynoEnsembl	Gene	Gene_type	Description	HumanEnsembl	Gene_Human
ENSMFAG00000031303	YIPF4	protein_coding	Yip1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:28145]	ENSG00000119820	YIPF4
ENSMFAG00000031304		protein_coding	leucine rich repeat containing 7 [Source:NCBI gene;Acc:102119145]	ENSG00000033122	LRRC7
ENSMFAG00000031305	SLC5A8	protein_coding	solute carrier family 5 member 8 [Source:HGNC Symbol;Acc:HGNC:19119]	ENSG00000256870	SLC5A8
ENSMFAG00000031306	ZNF586	protein_coding	zinc finger protein 586 [Source:HGNC Symbol;Acc:HGNC:25949]	ENSG00000083828	ZNF586
ENSMFAG00000031307	ATP2B3	protein_coding	ATPase plasma membrane Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:816]	ENSG00000067842	ATP2B3
ENSMFAG00000031308	SOX3	protein_coding	SRY-box 3 [Source:HGNC Symbol;Acc:HGNC:11199]	ENSG00000134595	SOX3
ENSMFAG00000031309	LAMP1	protein_coding	lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	ENSG00000185896	LAMP1
ENSMFAG00000031310		protein_coding		ENSG00000215021	PHB2
ENSMFAG00000031311	KCNK3	protein_coding	potassium two pore domain channel subfamily K member 3 [Source:HGNC Symbol;Acc:HGNC:6278]	ENSG00000171303	KCNK3
ENSMFAG00000031312	MCOLN2	protein_coding	mucolipin 2 [Source:HGNC Symbol;Acc:HGNC:13357]	ENSG00000153898	MCOLN2
ENSMFAG00000031313	FAM186A	protein_coding	family with sequence similarity 186 member A [Source:HGNC Symbol;Acc:HGNC:26980]	ENSG00000185958	FAM186A
ENSMFAG00000031314	UCHL1	protein_coding	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	ENSG00000154277	UCHL1
ENSMFAG00000031315	PLD3	protein_coding	phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158]	ENSG00000105223	PLD3
ENSMFAG00000031316	GMDS	protein_coding	"GDP-mannose 4,6-dehydratase [Source:NCBI gene;Acc:101866937]"	ENSG00000112699	GMDS
ENSMFAG00000031317		protein_coding			
ENSMFAG00000031318	GCLC	protein_coding	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	ENSG00000001084	GCLC
ENSMFAG00000031319		protein_coding			
ENSMFAG00000031320	IL36B	protein_coding	"Macaca fascicularis interleukin 36 beta (IL36B), transcript variant 1, mRNA. [Source:RefSeq mRNA;Acc:NM_001363217]"	ENSG00000136696	IL36B
ENSMFAG00000031321	BOP1	protein_coding	block of proliferation 1 [Source:HGNC Symbol;Acc:HGNC:15519]	ENSG00000261236	BOP1
ENSMFAG00000031322	FAXDC2	protein_coding	fatty acid hydroxylase domain containing 2 [Source:NCBI gene;Acc:102134726]	ENSG00000170271	FAXDC2
ENSMFAG00000031323	PTPRD	protein_coding	"protein tyrosine phosphatase, receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]"	ENSG00000153707	PTPRD
ENSMFAG00000031324		pseudogene	heterogeneous nuclear ribonucleoprotein A1-like [Source:NCBI gene;Acc:102147135]		
ENSMFAG00000031325	CCPG1	protein_coding	cell cycle progression 1 [Source:HGNC Symbol;Acc:HGNC:24227]	ENSG00000260916	CCPG1
ENSMFAG00000031326	PGM2L1	protein_coding	phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]	ENSG00000165434	PGM2L1
ENSMFAG00000031327	C16orf70	protein_coding	chromosome 16 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:29564]	ENSG00000125149	C16orf70
ENSMFAG00000031328	C8orf33	protein_coding	chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]	ENSG00000182307	C8orf33
ENSMFAG00000031329	C6orf118	protein_coding	chromosome 6 open reading frame 118 [Source:HGNC Symbol;Acc:HGNC:21233]	ENSG00000112539	C6orf118
ENSMFAG00000031330	CEMIP	protein_coding	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]	ENSG00000103888	CEMIP
ENSMFAG00000031331	RNF24	protein_coding	ring finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13779]	ENSG00000101236	RNF24
ENSMFAG00000031332	DHRS7	protein_coding	dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]	ENSG00000100612	DHRS7
ENSMFAG00000031333	RGS20	protein_coding	regulator of G protein signaling 20 [Source:HGNC Symbol;Acc:HGNC:14600]	ENSG00000147509	RGS20
ENSMFAG00000031334	ALKBH3	protein_coding	"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:30141]"	ENSG00000166199	ALKBH3
ENSMFAG00000031335	WNK2	protein_coding	WNK lysine deficient protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14542]	ENSG00000165238	WNK2
ENSMFAG00000031336	ALDOC	protein_coding	"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"	ENSG00000109107	ALDOC
ENSMFAG00000031337	SPARCL1	protein_coding	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	ENSG00000152583	SPARCL1
ENSMFAG00000031338		protein_coding			
ENSMFAG00000031339	VSIR	protein_coding	V-set immunoregulatory receptor [Source:HGNC Symbol;Acc:HGNC:30085]	ENSG00000107738	VSIR
ENSMFAG00000031340		protein_coding			
ENSMFAG00000031341	LRCOL1	protein_coding	leucine rich colipase like 1 [Source:HGNC Symbol;Acc:HGNC:44160]	ENSG00000204583	LRCOL1
ENSMFAG00000031342	THSD7B	protein_coding	thrombospondin type 1 domain containing 7B [Source:HGNC Symbol;Acc:HGNC:29348]	ENSG00000144229	THSD7B
ENSMFAG00000031343	SSC4D	protein_coding	scavenger receptor cysteine rich family member with 4 domains [Source:HGNC Symbol;Acc:HGNC:14461]	ENSG00000146700	SSC4D
ENSMFAG00000031344	SPA17	protein_coding	sperm autoantigenic protein 17 [Source:NCBI gene;Acc:101865183]	ENSG00000064199	SPA17
ENSMFAG00000031345	MMP17	protein_coding	matrix metallopeptidase 17 [Source:HGNC Symbol;Acc:HGNC:7163]	ENSG00000198598	MMP17
ENSMFAG00000031346	STARD5	protein_coding	StAR related lipid transfer domain containing 5 [Source:HGNC Symbol;Acc:HGNC:18065]	ENSG00000172345	STARD5
ENSMFAG00000031347	SYT17	protein_coding	synaptotagmin 17 [Source:HGNC Symbol;Acc:HGNC:24119]	ENSG00000103528	SYT17
ENSMFAG00000031348	CCT4	protein_coding	chaperonin containing TCP1 subunit 4 [Source:NCBI gene;Acc:101867260]	ENSG00000115484	CCT4
ENSMFAG00000031349	CD1B	protein_coding	CD1b molecule [Source:HGNC Symbol;Acc:HGNC:1635]	ENSG00000158485	CD1B
ENSMFAG00000031350		protein_coding			
ENSMFAG00000031351	WDR24	protein_coding	WD repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:20852]	ENSG00000127580	WDR24
ENSMFAG00000031352	SORL1	protein_coding	sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]	ENSG00000137642	SORL1
ENSMFAG00000031353		pseudogene			
ENSMFAG00000031354	ATG2B	protein_coding	autophagy related 2B [Source:HGNC Symbol;Acc:HGNC:20187]	ENSG00000066739	ATG2B
ENSMFAG00000031355		protein_coding		ENSG00000100836	PABPN1
ENSMFAG00000031356	DDX42	protein_coding	DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]	ENSG00000198231	DDX42
ENSMFAG00000031357	QRICH2	protein_coding	glutamine rich 2 [Source:HGNC Symbol;Acc:HGNC:25326]	ENSG00000129646	QRICH2
ENSMFAG00000031358	NRXN3	protein_coding	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	ENSG00000021645	NRXN3
ENSMFAG00000031359	WNT16	protein_coding	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	ENSG00000002745	WNT16
ENSMFAG00000031360	STYK1	protein_coding	serine/threonine/tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18889]	ENSG00000060140	STYK1
ENSMFAG00000031361		protein_coding	WD repeat domain 27 [Source:NCBI gene;Acc:102120212]	ENSG00000184465	WDR27
ENSMFAG00000031362	C12orf54	protein_coding	chromosome 12 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:28553]	ENSG00000177627	C12orf54
ENSMFAG00000031363	CCDC167	protein_coding	coiled-coil domain containing 167 [Source:HGNC Symbol;Acc:HGNC:21239]	ENSG00000198937	CCDC167
ENSMFAG00000031364	SPO11	protein_coding	"SPO11, initiator of meiotic double stranded breaks [Source:HGNC Symbol;Acc:HGNC:11250]"	ENSG00000054796	SPO11
ENSMFAG00000031365	RTN1	protein_coding	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	ENSG00000139970	RTN1
ENSMFAG00000031366	VCPIP1	protein_coding	valosin containing protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30897]	ENSG00000175073	VCPIP1
ENSMFAG00000031367	WARS	protein_coding	tryptophanyl-tRNA synthetase [Source:NCBI gene;Acc:101925126]	ENSG00000140105	WARS
ENSMFAG00000031368	ZMYM6	protein_coding	zinc finger MYM-type containing 6 [Source:HGNC Symbol;Acc:HGNC:13050]	ENSG00000163867	ZMYM6
ENSMFAG00000031369	ABHD17A	protein_coding	abhydrolase domain containing 17A [Source:HGNC Symbol;Acc:HGNC:28756]	ENSG00000129968	ABHD17A
ENSMFAG00000031370	CARHSP1	protein_coding	calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]	ENSG00000153048	CARHSP1
ENSMFAG00000031371	RSU1	protein_coding	Ras suppressor protein 1 [Source:NCBI gene;Acc:101866804]	ENSG00000148484	RSU1
ENSMFAG00000031372	SOX4	protein_coding	SRY-box 4 [Source:HGNC Symbol;Acc:HGNC:11200]	ENSG00000124766	SOX4
ENSMFAG00000031373	HEMGN	protein_coding	hemogen [Source:HGNC Symbol;Acc:HGNC:17509]	ENSG00000136929	HEMGN
ENSMFAG00000031374	PREX2	protein_coding	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]"	ENSG00000046889	PREX2
ENSMFAG00000031375	SCAP	protein_coding	SREBF chaperone [Source:HGNC Symbol;Acc:HGNC:30634]	ENSG00000114650	SCAP
ENSMFAG00000031376	LSM12	protein_coding	LSM12 homolog [Source:HGNC Symbol;Acc:HGNC:26407]	ENSG00000161654	LSM12
ENSMFAG00000031377	FAM228B	protein_coding	family with sequence similarity 228 member B [Source:HGNC Symbol;Acc:HGNC:24736]	ENSG00000219626	FAM228B
ENSMFAG00000031378	TBC1D2B	protein_coding	TBC1 domain family member 2B [Source:HGNC Symbol;Acc:HGNC:29183]	ENSG00000167202	TBC1D2B
ENSMFAG00000031379	APBA1	protein_coding	amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578]	ENSG00000107282	APBA1
ENSMFAG00000031380	IKZF2	protein_coding	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	ENSG00000030419	IKZF2
ENSMFAG00000031381	IL1RN	protein_coding	interleukin 1 receptor antagonist [Source:NCBI gene;Acc:102126145]	ENSG00000136689	IL1RN
ENSMFAG00000031382	RETREG3	protein_coding	reticulophagy regulator family member 3 [Source:NCBI gene;Acc:101926671]	ENSG00000141699	RETREG3
ENSMFAG00000031383	SLC18A2	protein_coding	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	ENSG00000165646	SLC18A2
ENSMFAG00000031384	NSD2	protein_coding	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	ENSG00000109685	NSD2
ENSMFAG00000031385	CCNO	protein_coding	cyclin O [Source:HGNC Symbol;Acc:HGNC:18576]	ENSG00000152669	CCNO
ENSMFAG00000031386	BACE1	protein_coding	beta-secretase 1 [Source:HGNC Symbol;Acc:HGNC:933]	ENSG00000186318	BACE1
ENSMFAG00000031387	SUN3	protein_coding	Sad1 and UNC84 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22429]	ENSG00000164744	SUN3
ENSMFAG00000031388		protein_coding			
ENSMFAG00000031389		protein_coding			
ENSMFAG00000031390	SLC22A31	protein_coding	solute carrier family 22 member 31 [Source:HGNC Symbol;Acc:HGNC:27091]	ENSG00000259803	SLC22A31
ENSMFAG00000031391	GCSAM	protein_coding	germinal center associated signaling and motility [Source:HGNC Symbol;Acc:HGNC:20253]	ENSG00000174500	GCSAM
ENSMFAG00000031392	UAP1L1	protein_coding	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28082]	ENSG00000197355	UAP1L1
ENSMFAG00000031393	MACC1	protein_coding	"MACC1, MET transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:30215]"	ENSG00000183742	MACC1
ENSMFAG00000031394	VRK2	protein_coding	vaccinia related kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]	ENSG00000028116	VRK2
ENSMFAG00000031395	RANBP3	protein_coding	RAN binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9850]	ENSG00000031823	RANBP3
ENSMFAG00000031396		protein_coding		ENSG00000221826	PSG3
ENSMFAG00000031397	ZNF483	protein_coding	zinc finger protein 483 [Source:HGNC Symbol;Acc:HGNC:23384]	ENSG00000173258	ZNF483
ENSMFAG00000031398	TOR1AIP1	protein_coding	torsin 1A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29456]	ENSG00000143337	TOR1AIP1
ENSMFAG00000031399	PIP5K1A	protein_coding	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994]	ENSG00000143398	PIP5K1A
ENSMFAG00000031400	IL17RC	protein_coding	interleukin 17 receptor C [Source:HGNC Symbol;Acc:HGNC:18358]	ENSG00000163702	IL17RC
ENSMFAG00000031401		pseudogene	olfactory receptor 4K15 [Source:NCBI gene;Acc:102125656]		
ENSMFAG00000031402	SALL3	protein_coding	spalt like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10527]	ENSG00000256463	SALL3
ENSMFAG00000031403	NRBP1	protein_coding	nuclear receptor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7993]	ENSG00000115216	NRBP1
ENSMFAG00000031404	SDC4	protein_coding	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	ENSG00000124145	SDC4
ENSMFAG00000031405		protein_coding	uncharacterized protein CXorf49 [Source:NCBI gene;Acc:102126528]	ENSG00000215115	CXorf49
ENSMFAG00000031406	OR52E5	protein_coding	olfactory receptor family 52 subfamily E member 5 [Source:HGNC Symbol;Acc:HGNC:15214]	ENSG00000277932	OR52E5
ENSMFAG00000031407		protein_coding			
ENSMFAG00000031408	NDUFA4L2	protein_coding	"NDUFA4, mitochondrial complex associated like 2 [Source:HGNC Symbol;Acc:HGNC:29836]"	ENSG00000185633	NDUFA4L2
ENSMFAG00000031409	DRGX	protein_coding	dorsal root ganglia homeobox [Source:HGNC Symbol;Acc:HGNC:21536]	ENSG00000165606	DRGX
ENSMFAG00000031410	OR2J1	protein_coding	olfactory receptor family 2 subfamily J member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8259]	ENSG00000204702	OR2J1
ENSMFAG00000031411	HLCS	protein_coding	holocarboxylase synthetase [Source:HGNC Symbol;Acc:HGNC:4976]	ENSG00000159267	HLCS
ENSMFAG00000031412	ENKD1	protein_coding	enkurin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25246]	ENSG00000124074	ENKD1
ENSMFAG00000031413	C7orf43	protein_coding	chromosome 7 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:25604]	ENSG00000146826	C7orf43
ENSMFAG00000031414	HEATR5A	protein_coding	HEAT repeat containing 5A [Source:HGNC Symbol;Acc:HGNC:20276]	ENSG00000129493	HEATR5A
ENSMFAG00000031415		protein_coding		ENSG00000149273	RPS3
ENSMFAG00000031416	APIP	protein_coding	APAF1 interacting protein [Source:HGNC Symbol;Acc:HGNC:17581]	ENSG00000149089	APIP
ENSMFAG00000031417	FGF1	protein_coding	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	ENSG00000113578	FGF1
ENSMFAG00000031418	SNRNP40	protein_coding	small nuclear ribonucleoprotein U5 subunit 40 [Source:NCBI gene;Acc:101865580]	ENSG00000060688	SNRNP40
ENSMFAG00000031419	TMEM164	protein_coding	transmembrane protein 164 [Source:HGNC Symbol;Acc:HGNC:26217]	ENSG00000157600	TMEM164
ENSMFAG00000031420		protein_coding			
ENSMFAG00000031421	PKHD1	protein_coding	"PKHD1, fibrocystin/polyductin [Source:HGNC Symbol;Acc:HGNC:9016]"	ENSG00000170927	PKHD1
ENSMFAG00000031422	RPS15A	protein_coding	ribosomal protein S15a [Source:NCBI gene;Acc:101866968]		
ENSMFAG00000031423	BMX	protein_coding	BMX non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1079]	ENSG00000102010	BMX
ENSMFAG00000031424	CT55	protein_coding	cancer/testis antigen 55 [Source:HGNC Symbol;Acc:HGNC:26047]	ENSG00000169551	CT55
ENSMFAG00000031425	C20orf202	protein_coding	chromosome 20 open reading frame 202 [Source:HGNC Symbol;Acc:HGNC:37254]	ENSG00000215595	C20orf202
ENSMFAG00000031426	TICRR	protein_coding	TOPBP1 interacting checkpoint and replication regulator [Source:HGNC Symbol;Acc:HGNC:28704]	ENSG00000140534	TICRR
ENSMFAG00000031427	MAGEA11	protein_coding	MAGE family member A11 [Source:HGNC Symbol;Acc:HGNC:6798]	ENSG00000185247	MAGEA11
ENSMFAG00000031428	ESPL1	protein_coding	"extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]"	ENSG00000135476	ESPL1
ENSMFAG00000031429	SBNO1	protein_coding	strawberry notch homolog 1 [Source:HGNC Symbol;Acc:HGNC:22973]	ENSG00000139697	SBNO1
ENSMFAG00000031430		protein_coding			
ENSMFAG00000031431		protein_coding			
ENSMFAG00000031432	ALDOB	protein_coding	"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"	ENSG00000136872	ALDOB
ENSMFAG00000031433	CPNE3	protein_coding	copine 3 [Source:HGNC Symbol;Acc:HGNC:2316]	ENSG00000085719	CPNE3
ENSMFAG00000031434	DYDC2	protein_coding	DPY30 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23468]	ENSG00000133665	DYDC2
ENSMFAG00000031435	C6orf106	protein_coding	chromosome 6 open reading frame 106 [Source:HGNC Symbol;Acc:HGNC:21215]	ENSG00000196821	C6orf106
ENSMFAG00000031436	RAVER2	protein_coding	"ribonucleoprotein, PTB binding 2 [Source:HGNC Symbol;Acc:HGNC:25577]"	ENSG00000162437	RAVER2
ENSMFAG00000031437	TSPAN32	protein_coding	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]	ENSG00000064201	TSPAN32
ENSMFAG00000031438	ZFAND3	protein_coding	zinc finger AN1-type containing 3 [Source:HGNC Symbol;Acc:HGNC:18019]	ENSG00000156639	ZFAND3
ENSMFAG00000031439	RPL3	protein_coding	ribosomal protein L3 [Source:NCBI gene;Acc:101867028]	ENSG00000100316	RPL3
ENSMFAG00000031440		pseudogene			
ENSMFAG00000031441		protein_coding	DEP domain containing 5 [Source:NCBI gene;Acc:102123621]	ENSG00000100150	DEPDC5
ENSMFAG00000031442	DPEP1	protein_coding	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	ENSG00000015413	DPEP1
ENSMFAG00000031443	MROH5	protein_coding	maestro heat like repeat family member 5 [Source:HGNC Symbol;Acc:HGNC:42976]	ENSG00000226807	MROH5
ENSMFAG00000031444	BEAN1	protein_coding	brain expressed associated with NEDD4 1 [Source:HGNC Symbol;Acc:HGNC:24160]	ENSG00000166546	BEAN1
ENSMFAG00000031445	CBR3	protein_coding	carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]	ENSG00000159231	CBR3
ENSMFAG00000031446	CSPG4	protein_coding	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	ENSG00000173546	CSPG4
ENSMFAG00000031447	OR1L1	protein_coding	olfactory receptor family 1 subfamily L member 1 [Source:HGNC Symbol;Acc:HGNC:8213]	ENSG00000173679	OR1L1
ENSMFAG00000031448	CAPN10	protein_coding	calpain 10 [Source:NCBI gene;Acc:101866540]	ENSG00000142330	CAPN10
ENSMFAG00000031449	MANSC1	protein_coding	MANSC domain containing 1 [Source:NCBI gene;Acc:102146646]	ENSG00000111261	MANSC1
ENSMFAG00000031450	ANPEP	protein_coding	"alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]"	ENSG00000166825	ANPEP
ENSMFAG00000031451	COL6A2	protein_coding	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	ENSG00000142173	COL6A2
ENSMFAG00000031452	CABCOCO1	protein_coding	ciliary associated calcium binding coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28678]	ENSG00000183346	CABCOCO1
ENSMFAG00000031453		protein_coding			
ENSMFAG00000031454	SNTB1	protein_coding	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	ENSG00000172164	SNTB1
ENSMFAG00000031455	SSC5D	protein_coding	scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641]	ENSG00000179954	SSC5D
ENSMFAG00000031456	ASPH	protein_coding	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	ENSG00000198363	ASPH
ENSMFAG00000031457	ADD3	protein_coding	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	ENSG00000148700	ADD3
ENSMFAG00000031458	SLC5A6	protein_coding	solute carrier family 5 member 6 [Source:HGNC Symbol;Acc:HGNC:11041]	ENSG00000138074	SLC5A6
ENSMFAG00000031459		protein_coding	mitochondrial ribosomal protein S28 [Source:NCBI gene;Acc:102137805]	ENSG00000276418	AC036214.3
ENSMFAG00000031460	PTX4	protein_coding	pentraxin 4 [Source:HGNC Symbol;Acc:HGNC:14171]	ENSG00000251692	PTX4
ENSMFAG00000031461	PPBP	protein_coding	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	ENSG00000163736	PPBP
ENSMFAG00000031462	VAMP2	protein_coding	vesicle associated membrane protein 2 [Source:NCBI gene;Acc:101864935]	ENSG00000220205	VAMP2
ENSMFAG00000031463	BEND4	protein_coding	BEN domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23815]	ENSG00000188848	BEND4
ENSMFAG00000031464	THUMPD2	protein_coding	THUMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14890]	ENSG00000138050	THUMPD2
ENSMFAG00000031465	TIMP2	protein_coding	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	ENSG00000035862	TIMP2
ENSMFAG00000031466	POLRMT	protein_coding	RNA polymerase mitochondrial [Source:HGNC Symbol;Acc:HGNC:9200]	ENSG00000099821	POLRMT
ENSMFAG00000031467	SHANK2	protein_coding	SH3 and multiple ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:14295]	ENSG00000162105	SHANK2
ENSMFAG00000031468	TAF5	protein_coding	TATA-box binding protein associated factor 5 [Source:HGNC Symbol;Acc:HGNC:11539]	ENSG00000148835	TAF5
ENSMFAG00000031469		pseudogene			
ENSMFAG00000031470	RECQL	protein_coding	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	ENSG00000004700	RECQL
ENSMFAG00000031471	GUCA2A	protein_coding	guanylate cyclase activator 2A [Source:HGNC Symbol;Acc:HGNC:4682]	ENSG00000197273	GUCA2A
ENSMFAG00000031472		protein_coding			
ENSMFAG00000031473	RDH10	protein_coding	retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]	ENSG00000121039	RDH10
ENSMFAG00000031474	ANGPTL1	protein_coding	angiopoietin like 1 [Source:HGNC Symbol;Acc:HGNC:489]	ENSG00000116194	ANGPTL1
ENSMFAG00000031475	VSTM2L	protein_coding	V-set and transmembrane domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:16096]	ENSG00000132821	VSTM2L
ENSMFAG00000031476		protein_coding	"aldolase, fructose-bisphosphate A [Source:NCBI gene;Acc:101925639]"	ENSG00000149925	ALDOA
ENSMFAG00000031477		protein_coding		ENSG00000100211	CBY1
ENSMFAG00000031478	LY86	protein_coding	lymphocyte antigen 86 [Source:HGNC Symbol;Acc:HGNC:16837]	ENSG00000112799	LY86
ENSMFAG00000031479	AADAC	protein_coding	arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]	ENSG00000114771	AADAC
ENSMFAG00000031480	SYCE1L	protein_coding	synaptonemal complex central element protein 1 like [Source:HGNC Symbol;Acc:HGNC:37236]	ENSG00000205078	SYCE1L
ENSMFAG00000031481	TTC36	protein_coding	tetratricopeptide repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:33708]	ENSG00000172425	TTC36
ENSMFAG00000031482	LMF2	protein_coding	lipase maturation factor 2 [Source:HGNC Symbol;Acc:HGNC:25096]	ENSG00000100258	LMF2
ENSMFAG00000031483	FAM198A	protein_coding	family with sequence similarity 198 member A [Source:HGNC Symbol;Acc:HGNC:24485]	ENSG00000144649	FAM198A
ENSMFAG00000031484	CCDC42	protein_coding	coiled-coil domain containing 42 [Source:HGNC Symbol;Acc:HGNC:26528]	ENSG00000161973	CCDC42
ENSMFAG00000031485	SPX	protein_coding	spexin hormone [Source:HGNC Symbol;Acc:HGNC:28139]	ENSG00000134548	SPX
ENSMFAG00000031486		protein_coding	family with sequence similarity 110 member C [Source:NCBI gene;Acc:102140017]	ENSG00000184731	FAM110C
ENSMFAG00000031487	ZBTB2	protein_coding	zinc finger and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20868]	ENSG00000181472	ZBTB2
ENSMFAG00000031488	UBASH3A	protein_coding	ubiquitin associated and SH3 domain containing A [Source:HGNC Symbol;Acc:HGNC:12462]	ENSG00000160185	UBASH3A
ENSMFAG00000031489	GPD1	protein_coding	glycerol-3-phosphate dehydrogenase 1 [Source:NCBI gene;Acc:101865501]	ENSG00000167588	GPD1
ENSMFAG00000031490	DLGAP1	protein_coding	DLG associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2905]	ENSG00000170579	DLGAP1
ENSMFAG00000031491		protein_coding			
ENSMFAG00000031492	CEP162	protein_coding	centrosomal protein 162 [Source:HGNC Symbol;Acc:HGNC:21107]	ENSG00000135315	CEP162
ENSMFAG00000031493	CTNND1	protein_coding	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	ENSG00000198561	CTNND1
ENSMFAG00000031494	LMF1	protein_coding	lipase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:14154]	ENSG00000103227	LMF1
ENSMFAG00000031495		protein_coding	suppressor of variegation 3-9 homolog 2 [Source:NCBI gene;Acc:102136014]	ENSG00000152455	SUV39H2
ENSMFAG00000031496	FAM170A	protein_coding	family with sequence similarity 170 member A [Source:HGNC Symbol;Acc:HGNC:27963]	ENSG00000164334	FAM170A
ENSMFAG00000031497	FAM124B	protein_coding	family with sequence similarity 124 member B [Source:HGNC Symbol;Acc:HGNC:26224]	ENSG00000124019	FAM124B
ENSMFAG00000031498	ALG14	protein_coding	"ALG14, UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:28287]"	ENSG00000172339	ALG14
